id,product,category,region,quantity,unit_price,amount,sale_date
1,마우스,가전,부산,19,870176.0,16533344.0,2024-01-01 00:00:00
2,스캐너,주변기기,서울,12,883948.0,10607376.0,2024-01-02 00:00:00
3,키보드,전자제품,광주,3,29050.0,87150.0,2024-01-03 00:00:00
4,노트북,가전,인천,13,848678.0,11032814.0,2024-01-04 00:00:00
5,마우스,주변기기,인천,9,893961.0,8045649.0,2024-01-05 00:00:00
6,스마트폰,주변기기,대구,14,238747.0,3342458.0,2024-01-06 00:00:00
7,태블릿,전자제품,부산,1,432153.0,432153.0,2024-01-07 00:00:00
8,헤드폰,전자제품,대구,9,247052.0,2223468.0,2024-01-08 00:00:00
9,노트북,주변기기,서울,13,135895.0,1766635.0,2024-01-09 00:00:00
10,키보드,주변기기,서울,13,22649.0,294437.0,2024-01-10 00:00:00
11,태블릿,가전,대구,4,659457.0,2637828.0,2024-01-11 00:00:00
12,노트북,전자제품,부산,19,590167.0,11213173.0,2024-01-12 00:00:00
13,키보드,가전,인천,9,464892.0,4184028.0,2024-01-13 00:00:00
14,헤드폰,전자제품,부산,5,564501.0,2822505.0,2024-01-14 00:00:00
15,헤드폰,가전,부산,4,291969.0,1167876.0,2024-01-15 00:00:00
16,키보드,가전,대구,6,873538.0,5241228.0,2024-01-16 00:00:00
17,마우스,주변기기,인천,19,434834.0,8261846.0,2024-01-17 00:00:00
18,태블릿,주변기기,서울,19,91326.0,1735194.0,2024-01-18 00:00:00
19,마우스,가전,부산,3,77627.0,232881.0,2024-01-19 00:00:00
20,모니터,주변기기,인천,20,656537.0,13130740.0,2024-01-20 00:00:00
21,카메라,주변기기,부산,8,14368.0,114944.0,2024-01-21 00:00:00
22,카메라,전자제품,서울,10,975055.0,9750550.0,2024-01-22 00:00:00
23,태블릿,주변기기,광주,1,314686.0,314686.0,2024-01-23 00:00:00
24,마우스,전자제품,부산,14,989736.0,13856304.0,2024-01-24 00:00:00
25,마우스,가전,서울,2,471163.0,942326.0,2024-01-25 00:00:00
26,키보드,주변기기,부산,4,805362.0,3221448.0,2024-01-26 00:00:00
27,마우스,가전,부산,14,728235.0,10195290.0,2024-01-27 00:00:00
28,키보드,주변기기,부산,15,684640.0,10269600.0,2024-01-28 00:00:00
29,카메라,주변기기,부산,12,234066.0,2808792.0,2024-01-29 00:00:00
30,태블릿,주변기기,서울,19,946878.0,17990682.0,2024-01-30 00:00:00
31,마우스,가전,인천,17,952940.0,16199980.0,2024-01-31 00:00:00
366,카메라,가전,대구,6,29030.0,174180.0,2024-01-01 00:00:00
367,모니터,주변기기,대구,11,497789.0,5475679.0,2024-01-02 00:00:00
368,프린터,주변기기,부산,14,321658.0,4503212.0,2024-01-03 00:00:00
369,헤드폰,가전,인천,11,57854.0,636394.0,2024-01-04 00:00:00
370,태블릿,전자제품,광주,3,180983.0,542949.0,2024-01-05 00:00:00
371,헤드폰,가전,인천,16,195091.0,3121456.0,2024-01-06 00:00:00
372,프린터,가전,인천,14,945397.0,13235558.0,2024-01-07 00:00:00
373,스캐너,주변기기,대구,6,762202.0,4573212.0,2024-01-08 00:00:00
374,카메라,가전,서울,14,324927.0,4548978.0,2024-01-09 00:00:00
375,키보드,전자제품,부산,17,412481.0,7012177.0,2024-01-10 00:00:00
376,스마트폰,주변기기,대구,7,662322.0,4636254.0,2024-01-11 00:00:00
377,스캐너,가전,부산,13,60776.0,790088.0,2024-01-12 00:00:00
378,마우스,전자제품,광주,18,571716.0,10290888.0,2024-01-13 00:00:00
379,카메라,주변기기,부산,10,648864.0,6488640.0,2024-01-14 00:00:00
380,헤드폰,주변기기,부산,15,158966.0,2384490.0,2024-01-15 00:00:00
381,프린터,주변기기,부산,6,976714.0,5860284.0,2024-01-16 00:00:00
382,태블릿,전자제품,인천,13,89617.0,1165021.0,2024-01-17 00:00:00
383,스캐너,주변기기,대구,10,50261.0,502610.0,2024-01-18 00:00:00
384,키보드,주변기기,대구,4,820398.0,3281592.0,2024-01-19 00:00:00
385,노트북,주변기기,부산,10,176208.0,1762080.0,2024-01-20 00:00:00
386,키보드,주변기기,서울,10,172356.0,1723560.0,2024-01-21 00:00:00
387,키보드,가전,광주,14,735918.0,10302852.0,2024-01-22 00:00:00
388,헤드폰,가전,부산,9,392964.0,3536676.0,2024-01-23 00:00:00
389,마우스,주변기기,대구,11,904161.0,9945771.0,2024-01-24 00:00:00
390,태블릿,주변기기,부산,12,666720.0,8000640.0,2024-01-25 00:00:00
391,프린터,전자제품,광주,5,879188.0,4395940.0,2024-01-26 00:00:00
392,카메라,주변기기,인천,3,214310.0,642930.0,2024-01-27 00:00:00
393,프린터,주변기기,인천,5,938776.0,4693880.0,2024-01-28 00:00:00
394,노트북,주변기기,부산,4,29711.0,118844.0,2024-01-29 00:00:00
395,마우스,전자제품,부산,9,301464.0,2713176.0,2024-01-30 00:00:00
396,키보드,전자제품,부산,11,541316.0,5954476.0,2024-01-31 00:00:00
731,마우스,전자제품,대구,9,321704.0,2895336.0,2024-01-01 00:00:00
732,모니터,주변기기,광주,6,519736.0,3118416.0,2024-01-02 00:00:00
733,키보드,전자제품,부산,14,173637.0,2430918.0,2024-01-03 00:00:00
734,노트북,가전,광주,14,511297.0,7158158.0,2024-01-04 00:00:00
735,스마트폰,전자제품,서울,14,699091.0,9787274.0,2024-01-05 00:00:00
736,스마트폰,주변기기,인천,5,526517.0,2632585.0,2024-01-06 00:00:00
737,태블릿,전자제품,인천,15,477252.0,7158780.0,2024-01-07 00:00:00
738,헤드폰,전자제품,인천,12,207574.0,2490888.0,2024-01-08 00:00:00
739,마우스,가전,서울,18,425176.0,7653168.0,2024-01-09 00:00:00
740,키보드,주변기기,대구,1,616750.0,616750.0,2024-01-10 00:00:00
741,프린터,주변기기,대구,10,312431.0,3124310.0,2024-01-11 00:00:00
742,헤드폰,주변기기,대구,8,941532.0,7532256.0,2024-01-12 00:00:00
743,스캐너,주변기기,부산,17,21622.0,367574.0,2024-01-13 00:00:00
744,태블릿,주변기기,부산,18,700432.0,12607776.0,2024-01-14 00:00:00
745,스마트폰,주변기기,인천,17,259730.0,4415410.0,2024-01-15 00:00:00
746,프린터,주변기기,부산,10,359957.0,3599570.0,2024-01-16 00:00:00
747,카메라,전자제품,인천,2,706511.0,1413022.0,2024-01-17 00:00:00
748,모니터,가전,대구,15,687452.0,10311780.0,2024-01-18 00:00:00
749,키보드,주변기기,부산,8,685452.0,5483616.0,2024-01-19 00:00:00
750,스마트폰,주변기기,부산,9,26836.0,241524.0,2024-01-20 00:00:00
751,마우스,전자제품,부산,7,839462.0,5876234.0,2024-01-21 00:00:00
752,태블릿,가전,대구,18,664634.0,11963412.0,2024-01-22 00:00:00
753,태블릿,전자제품,광주,19,982154.0,18660926.0,2024-01-23 00:00:00
754,헤드폰,주변기기,부산,5,693286.0,3466430.0,2024-01-24 00:00:00
755,마우스,전자제품,대구,14,483756.0,6772584.0,2024-01-25 00:00:00
756,모니터,전자제품,부산,18,813379.0,14640822.0,2024-01-26 00:00:00
757,노트북,주변기기,대구,14,244628.0,3424792.0,2024-01-27 00:00:00
758,헤드폰,전자제품,대구,17,245616.0,4175472.0,2024-01-28 00:00:00
759,태블릿,가전,인천,12,782903.0,9394836.0,2024-01-29 00:00:00
760,마우스,가전,인천,9,118120.0,1063080.0,2024-01-30 00:00:00
761,태블릿,주변기기,광주,9,225009.0,2025081.0,2024-01-31 00:00:00
1096,마우스,가전,인천,17,715906.0,12170402.0,2024-01-01 00:00:00
1097,노트북,주변기기,서울,16,903863.0,14461808.0,2024-01-02 00:00:00
1098,태블릿,주변기기,인천,9,597273.0,5375457.0,2024-01-03 00:00:00
1099,태블릿,주변기기,대구,14,407151.0,5700114.0,2024-01-04 00:00:00
1100,마우스,주변기기,인천,12,77397.0,928764.0,2024-01-05 00:00:00
1101,스마트폰,주변기기,인천,10,728959.0,7289590.0,2024-01-06 00:00:00
1102,카메라,주변기기,대구,8,750398.0,6003184.0,2024-01-07 00:00:00
1103,모니터,가전,서울,1,233213.0,233213.0,2024-01-08 00:00:00
1104,스마트폰,가전,광주,8,527176.0,4217408.0,2024-01-09 00:00:00
1105,프린터,주변기기,서울,19,371381.0,7056239.0,2024-01-10 00:00:00
1106,키보드,가전,부산,1,216690.0,216690.0,2024-01-11 00:00:00
1107,스캐너,주변기기,인천,7,565613.0,3959291.0,2024-01-12 00:00:00
1108,마우스,전자제품,광주,2,914223.0,1828446.0,2024-01-13 00:00:00
1109,스마트폰,전자제품,인천,10,669523.0,6695230.0,2024-01-14 00:00:00
1110,노트북,전자제품,광주,4,192089.0,768356.0,2024-01-15 00:00:00
1111,프린터,주변기기,서울,2,532383.0,1064766.0,2024-01-16 00:00:00
1112,모니터,가전,광주,12,890344.0,10684128.0,2024-01-17 00:00:00
1113,키보드,가전,대구,8,343531.0,2748248.0,2024-01-18 00:00:00
1114,헤드폰,주변기기,서울,15,689909.0,10348635.0,2024-01-19 00:00:00
1115,마우스,주변기기,인천,7,145952.0,1021664.0,2024-01-20 00:00:00
1116,스마트폰,전자제품,인천,10,225035.0,2250350.0,2024-01-21 00:00:00
1117,카메라,주변기기,서울,15,780428.0,11706420.0,2024-01-22 00:00:00
1118,태블릿,주변기기,부산,7,801924.0,5613468.0,2024-01-23 00:00:00
1119,모니터,주변기기,대구,6,58423.0,350538.0,2024-01-24 00:00:00
1120,헤드폰,전자제품,서울,8,445556.0,3564448.0,2024-01-25 00:00:00
1121,모니터,주변기기,인천,17,438109.0,7447853.0,2024-01-26 00:00:00
1122,헤드폰,가전,광주,15,273043.0,4095645.0,2024-01-27 00:00:00
1123,스마트폰,주변기기,대구,13,353066.0,4589858.0,2024-01-28 00:00:00
1124,스캐너,주변기기,광주,14,848712.0,11881968.0,2024-01-29 00:00:00
1125,헤드폰,전자제품,인천,5,729762.0,3648810.0,2024-01-30 00:00:00
1126,키보드,전자제품,광주,16,689064.0,11025024.0,2024-01-31 00:00:00
1461,마우스,전자제품,부산,10,425574.0,4255740.0,2024-01-01 00:00:00
1462,마우스,주변기기,부산,4,259020.0,1036080.0,2024-01-02 00:00:00
1463,스마트폰,가전,인천,15,701960.0,10529400.0,2024-01-03 00:00:00
1464,헤드폰,주변기기,광주,15,765845.0,11487675.0,2024-01-04 00:00:00
1465,마우스,주변기기,대구,7,740948.0,5186636.0,2024-01-05 00:00:00
1466,스마트폰,가전,부산,12,757150.0,9085800.0,2024-01-06 00:00:00
1467,키보드,가전,인천,15,941197.0,14117955.0,2024-01-07 00:00:00
1468,마우스,가전,서울,17,112376.0,1910392.0,2024-01-08 00:00:00
1469,마우스,전자제품,대구,15,144685.0,2170275.0,2024-01-09 00:00:00
1470,헤드폰,전자제품,광주,12,988118.0,11857416.0,2024-01-10 00:00:00
1471,프린터,주변기기,인천,16,411189.0,6579024.0,2024-01-11 00:00:00
1472,모니터,가전,대구,15,498962.0,7484430.0,2024-01-12 00:00:00
