id,product,category,region,quantity,unit_price,amount,sale_date
1,마우스,가전,부산,19,870176.0,16533344.0,2024-01-01 00:00:00
2,스캐너,주변기기,서울,12,883948.0,10607376.0,2024-01-02 00:00:00
3,키보드,전자제품,광주,3,29050.0,87150.0,2024-01-03 00:00:00
4,노트북,가전,인천,13,848678.0,11032814.0,2024-01-04 00:00:00
5,마우스,주변기기,인천,9,893961.0,8045649.0,2024-01-05 00:00:00
6,스마트폰,주변기기,대구,14,238747.0,3342458.0,2024-01-06 00:00:00
7,태블릿,전자제품,부산,1,432153.0,432153.0,2024-01-07 00:00:00
8,헤드폰,전자제품,대구,9,247052.0,2223468.0,2024-01-08 00:00:00
9,노트북,주변기기,서울,13,135895.0,1766635.0,2024-01-09 00:00:00
10,키보드,주변기기,서울,13,22649.0,294437.0,2024-01-10 00:00:00
11,태블릿,가전,대구,4,659457.0,2637828.0,2024-01-11 00:00:00
12,노트북,전자제품,부산,19,590167.0,11213173.0,2024-01-12 00:00:00
13,키보드,가전,인천,9,464892.0,4184028.0,2024-01-13 00:00:00
14,헤드폰,전자제품,부산,5,564501.0,2822505.0,2024-01-14 00:00:00
15,헤드폰,가전,부산,4,291969.0,1167876.0,2024-01-15 00:00:00
16,키보드,가전,대구,6,873538.0,5241228.0,2024-01-16 00:00:00
17,마우스,주변기기,인천,19,434834.0,8261846.0,2024-01-17 00:00:00
18,태블릿,주변기기,서울,19,91326.0,1735194.0,2024-01-18 00:00:00
19,마우스,가전,부산,3,77627.0,232881.0,2024-01-19 00:00:00
20,모니터,주변기기,인천,20,656537.0,13130740.0,2024-01-20 00:00:00
21,카메라,주변기기,부산,8,14368.0,114944.0,2024-01-21 00:00:00
22,카메라,전자제품,서울,10,975055.0,9750550.0,2024-01-22 00:00:00
23,태블릿,주변기기,광주,1,314686.0,314686.0,2024-01-23 00:00:00
24,마우스,전자제품,부산,14,989736.0,13856304.0,2024-01-24 00:00:00
25,마우스,가전,서울,2,471163.0,942326.0,2024-01-25 00:00:00
26,키보드,주변기기,부산,4,805362.0,3221448.0,2024-01-26 00:00:00
27,마우스,가전,부산,14,728235.0,10195290.0,2024-01-27 00:00:00
28,키보드,주변기기,부산,15,684640.0,10269600.0,2024-01-28 00:00:00
29,카메라,주변기기,부산,12,234066.0,2808792.0,2024-01-29 00:00:00
30,태블릿,주변기기,서울,19,946878.0,17990682.0,2024-01-30 00:00:00
31,마우스,가전,인천,17,952940.0,16199980.0,2024-01-31 00:00:00
32,모니터,주변기기,인천,8,983513.0,7868104.0,2024-02-01 00:00:00
33,스마트폰,전자제품,부산,4,587999.0,2351996.0,2024-02-02 00:00:00
34,키보드,가전,인천,2,198538.0,397076.0,2024-02-03 00:00:00
35,노트북,주변기기,광주,19,184498.0,3505462.0,2024-02-04 00:00:00
36,카메라,전자제품,인천,2,129878.0,259756.0,2024-02-05 00:00:00
37,태블릿,전자제품,인천,3,627975.0,1883925.0,2024-02-06 00:00:00
38,스캐너,가전,대구,14,540835.0,7571690.0,2024-02-07 00:00:00
39,프린터,주변기기,인천,6,954599.0,5727594.0,2024-02-08 00:00:00
40,노트북,가전,대구,14,770790.0,10791060.0,2024-02-09 00:00:00
41,태블릿,주변기기,인천,11,111949.0,1231439.0,2024-02-10 00:00:00
42,카메라,주변기기,인천,6,666061.0,3996366.0,2024-02-11 00:00:00
43,태블릿,주변기기,부산,18,793684.0,14286312.0,2024-02-12 00:00:00
44,프린터,주변기기,인천,12,595998.0,7151976.0,2024-02-13 00:00:00
45,스마트폰,가전,인천,13,642892.0,8357596.0,2024-02-14 00:00:00
46,헤드폰,가전,부산,18,692491.0,12464838.0,2024-02-15 00:00:00
47,모니터,가전,대구,12,783322.0,9399864.0,2024-02-16 00:00:00
48,키보드,주변기기,대구,10,413220.0,4132200.0,2024-02-17 00:00:00
49,마우스,가전,부산,8,854983.0,6839864.0,2024-02-18 00:00:00
50,태블릿,주변기기,광주,6,564057.0,3384342.0,2024-02-19 00:00:00
51,스마트폰,주변기기,서울,12,550404.0,6604848.0,2024-02-20 00:00:00
52,키보드,가전,부산,16,18016.0,288256.0,2024-02-21 00:00:00
53,프린터,가전,대구,18,597883.0,10761894.0,2024-02-22 00:00:00
54,스캐너,전자제품,서울,13,102817.0,1336621.0,2024-02-23 00:00:00
55,마우스,전자제품,대구,10,155776.0,1557760.0,2024-02-24 00:00:00
56,프린터,주변기기,광주,14,365746.0,5120444.0,2024-02-25 00:00:00
57,스마트폰,주변기기,인천,4,172615.0,690460.0,2024-02-26 00:00:00
58,모니터,전자제품,부산,2,542023.0,1084046.0,2024-02-27 00:00:00
59,카메라,가전,대구,18,689882.0,12417876.0,2024-02-28 00:00:00
60,키보드,가전,광주,3,688879.0,2066637.0,2024-02-29 00:00:00
61,카메라,전자제품,부산,5,264533.0,1322665.0,2024-03-01 00:00:00
62,노트북,주변기기,대구,19,274151.0,5208869.0,2024-03-02 00:00:00
63,스마트폰,주변기기,대구,5,668212.0,3341060.0,2024-03-03 00:00:00
64,마우스,가전,대구,19,796278.0,15129282.0,2024-03-04 00:00:00
65,모니터,가전,서울,15,736452.0,11046780.0,2024-03-05 00:00:00
66,마우스,전자제품,대구,4,667920.0,2671680.0,2024-03-06 00:00:00
67,프린터,가전,인천,8,447019.0,3576152.0,2024-03-07 00:00:00
68,키보드,가전,광주,12,100092.0,1201104.0,2024-03-08 00:00:00
69,프린터,가전,서울,19,792625.0,15059875.0,2024-03-09 00:00:00
70,키보드,주변기기,광주,2,586536.0,1173072.0,2024-03-10 00:00:00
71,마우스,주변기기,광주,5,962222.0,4811110.0,2024-03-11 00:00:00
72,스캐너,주변기기,대구,6,240726.0,1444356.0,2024-03-12 00:00:00
73,카메라,전자제품,대구,15,66526.0,997890.0,2024-03-13 00:00:00
74,헤드폰,주변기기,대구,13,333559.0,4336267.0,2024-03-14 00:00:00
75,프린터,주변기기,인천,14,665545.0,9317630.0,2024-03-15 00:00:00
76,키보드,주변기기,대구,14,97667.0,1367338.0,2024-03-16 00:00:00
77,마우스,전자제품,광주,17,119212.0,2026604.0,2024-03-17 00:00:00
78,카메라,주변기기,대구,17,792614.0,13474438.0,2024-03-18 00:00:00
79,태블릿,전자제품,대구,8,682952.0,5463616.0,2024-03-19 00:00:00
80,카메라,전자제품,대구,12,831405.0,9976860.0,2024-03-20 00:00:00
81,프린터,가전,인천,16,141031.0,2256496.0,2024-03-21 00:00:00
82,헤드폰,주변기기,부산,11,605265.0,6657915.0,2024-03-22 00:00:00
83,태블릿,주변기기,부산,1,881213.0,881213.0,2024-03-23 00:00:00
84,스마트폰,가전,광주,2,656652.0,1313304.0,2024-03-24 00:00:00
85,스캐너,주변기기,대구,4,428848.0,1715392.0,2024-03-25 00:00:00
86,태블릿,가전,인천,19,557586.0,10594134.0,2024-03-26 00:00:00
87,프린터,가전,부산,17,443890.0,7546130.0,2024-03-27 00:00:00
88,마우스,주변기기,인천,4,496346.0,1985384.0,2024-03-28 00:00:00
89,헤드폰,주변기기,인천,1,447279.0,447279.0,2024-03-29 00:00:00
90,태블릿,가전,부산,16,936004.0,14976064.0,2024-03-30 00:00:00
91,마우스,주변기기,인천,6,365010.0,2190060.0,2024-03-31 00:00:00
92,모니터,전자제품,서울,10,788236.0,7882360.0,2024-04-01 00:00:00
93,헤드폰,전자제품,부산,9,615693.0,5541237.0,2024-04-02 00:00:00
94,키보드,주변기기,부산,12,428297.0,5139564.0,2024-04-03 00:00:00
95,키보드,주변기기,인천,11,750013.0,8250143.0,2024-04-04 00:00:00
96,스마트폰,전자제품,부산,6,887169.0,5323014.0,2024-04-05 00:00:00
97,카메라,전자제품,인천,2,997356.0,1994712.0,2024-04-06 00:00:00
98,마우스,주변기기,대구,10,59353.0,593530.0,2024-04-07 00:00:00
99,노트북,주변기기,서울,9,259985.0,2339865.0,2024-04-08 00:00:00
100,프린터,전자제품,대구,7,960979.0,6726853.0,2024-04-09 00:00:00
101,태블릿,주변기기,인천,3,175296.0,525888.0,2024-04-10 00:00:00
102,헤드폰,주변기기,서울,19,554741.0,10540079.0,2024-04-11 00:00:00
103,스마트폰,주변기기,인천,12,219566.0,2634792.0,2024-04-12 00:00:00
104,마우스,가전,부산,8,235001.0,1880008.0,2024-04-13 00:00:00
105,스마트폰,전자제품,대구,16,318042.0,5088672.0,2024-04-14 00:00:00
106,스마트폰,전자제품,인천,20,132028.0,2640560.0,2024-04-15 00:00:00
107,태블릿,주변기기,인천,7,239058.0,1673406.0,2024-04-16 00:00:00
108,헤드폰,전자제품,서울,14,682417.0,9553838.0,2024-04-17 00:00:00
109,프린터,주변기기,서울,12,84316.0,1011792.0,2024-04-18 00:00:00
110,헤드폰,주변기기,인천,9,315840.0,2842560.0,2024-04-19 00:00:00
111,프린터,가전,부산,7,705063.0,4935441.0,2024-04-20 00:00:00
112,마우스,전자제품,부산,18,659218.0,11865924.0,2024-04-21 00:00:00
113,카메라,가전,부산,15,809746.0,12146190.0,2024-04-22 00:00:00
114,마우스,주변기기,부산,16,646339.0,10341424.0,2024-04-23 00:00:00
115,태블릿,주변기기,부산,3,313801.0,941403.0,2024-04-24 00:00:00
116,모니터,가전,광주,17,430203.0,7313451.0,2024-04-25 00:00:00
117,키보드,전자제품,인천,12,255817.0,3069804.0,2024-04-26 00:00:00
118,태블릿,가전,대구,12,757479.0,9089748.0,2024-04-27 00:00:00
119,마우스,가전,광주,3,132561.0,397683.0,2024-04-28 00:00:00
120,스마트폰,전자제품,인천,10,201277.0,2012770.0,2024-04-29 00:00:00
121,모니터,주변기기,광주,19,193429.0,3675151.0,2024-04-30 00:00:00
122,프린터,주변기기,대구,18,123665.0,2225970.0,2024-05-01 00:00:00
123,스캐너,주변기기,대구,8,428928.0,3431424.0,2024-05-02 00:00:00
124,카메라,전자제품,인천,19,592350.0,11254650.0,2024-05-03 00:00:00
125,태블릿,주변기기,인천,7,234075.0,1638525.0,2024-05-04 00:00:00
126,스마트폰,주변기기,광주,8,348881.0,2791048.0,2024-05-05 00:00:00
127,키보드,주변기기,부산,3,394329.0,1182987.0,2024-05-06 00:00:00
128,헤드폰,주변기기,대구,11,661083.0,7271913.0,2024-05-07 00:00:00
129,키보드,전자제품,광주,11,284749.0,3132239.0,2024-05-08 00:00:00
130,스마트폰,전자제품,서울,2,278423.0,556846.0,2024-05-09 00:00:00
131,스마트폰,가전,인천,18,688054.0,12384972.0,2024-05-10 00:00:00
132,키보드,전자제품,서울,13,636248.0,8271224.0,2024-05-11 00:00:00
133,모니터,가전,부산,9,81253.0,731277.0,2024-05-12 00:00:00
134,모니터,가전,인천,14,348037.0,4872518.0,2024-05-13 00:00:00
135,헤드폰,가전,인천,15,220690.0,3310350.0,2024-05-14 00:00:00
136,프린터,전자제품,인천,19,597110.0,11345090.0,2024-05-15 00:00:00
137,프린터,주변기기,서울,8,902367.0,7218936.0,2024-05-16 00:00:00
