id,store_name,revenue,customers,record_date
1,부산-상점-1,5073017.0,611.0,2024-01-04 00:00:00
2,부산-상점-2,6089739.0,170.0,2024-01-07 00:00:00
3,부산-상점-3,294360.0,8.0,2024-01-10 00:00:00
4,부산-상점-4,15547364.0,227.0,2024-01-13 00:00:00
5,부산-상점-5,7907627.0,430.0,2024-01-16 00:00:00
6,부산-상점-6,9957974.0,625.0,2024-01-19 00:00:00
7,부산-상점-7,25952194.0,167.0,2024-01-22 00:00:00
8,부산-상점-8,15577946.0,436.0,2024-01-25 00:00:00
9,부산-상점-9,28003777.0,513.0,2024-01-28 00:00:00
10,부산-상점-10,9286034.0,260.0,2024-01-31 00:00:00
11,부산-상점-11,5439036.0,7.0,2024-02-03 00:00:00
12,부산-상점-12,8728396.0,487.0,2024-02-06 00:00:00
13,부산-상점-13,8530793.0,413.0,2024-02-09 00:00:00
14,부산-상점-14,5731477.0,608.0,2024-02-12 00:00:00
15,부산-상점-15,26538676.0,584.0,2024-02-15 00:00:00
16,부산-상점-16,14894712.0,176.0,2024-02-18 00:00:00
17,부산-상점-17,16758887.0,198.0,2024-02-21 00:00:00
18,부산-상점-18,7194104.0,549.0,2024-02-24 00:00:00
19,부산-상점-19,15045820.0,445.0,2024-02-27 00:00:00
20,부산-상점-20,24734295.0,539.0,2024-03-01 00:00:00
