id,store_name,revenue,customers,record_date
1,인천-상점-1,9216963.0,322.0,2024-01-04 00:00:00
2,인천-상점-2,6008981.0,479.0,2024-01-07 00:00:00
3,인천-상점-3,5960365.0,250.0,2024-01-10 00:00:00
4,인천-상점-4,6519452.0,323.0,2024-01-13 00:00:00
5,인천-상점-5,2515761.0,149.0,2024-01-16 00:00:00
6,인천-상점-6,5856047.0,173.0,2024-01-19 00:00:00
7,인천-상점-7,7253866.0,299.0,2024-01-22 00:00:00
8,인천-상점-8,11753049.0,409.0,2024-01-25 00:00:00
9,인천-상점-9,6829317.0,229.0,2024-01-28 00:00:00
10,인천-상점-10,6038521.0,269.0,2024-01-31 00:00:00
11,인천-상점-11,5127731.0,252.0,2024-02-03 00:00:00
12,인천-상점-12,17993656.0,482.0,2024-02-06 00:00:00
13,인천-상점-13,12263087.0,182.0,2024-02-09 00:00:00
14,인천-상점-14,17094991.0,366.0,2024-02-12 00:00:00
15,인천-상점-15,15297274.0,154.0,2024-02-15 00:00:00
16,인천-상점-16,9599480.0,394.0,2024-02-18 00:00:00
17,인천-상점-17,14852288.0,369.0,2024-02-21 00:00:00
18,인천-상점-18,18224603.0,146.0,2024-02-24 00:00:00
19,인천-상점-19,7603588.0,61.0,2024-02-27 00:00:00
20,인천-상점-20,484085.0,252.0,2024-03-01 00:00:00
